"","X","refYear","refMonth","period","reporterISO","reporterDesc","partnerISO","partnerDesc","primaryValue","Group","Group_0","Group_1","Group_2","Time_Treated","GDP","EXR","REXR","CA","TimeIndex","Time_TreatmentIndex","Time_TreatmentIndex_1","trade","Ltrade","LGDP","LEXR","After1","After2","UCL","GDPX","REXRX","CAX","CV"
"27",27,2014,1,201401,"NZL","New Zealand","RUS","Russian Federation",14861185.707,"Group_2",0,0,1,202203,16.3938492063492,0.0358657170474829,0.00160577698640087,0.411892976118097,-88,10,-2,0.014861185707,-4.20900245101839,2.79690621608857,-6.43414753586398,0,0,1,-0.936176766669218,-0.215403578849625,1.04387763736314,-0.0359009027185662
"28",28,2014,1,201401,"NOR","Norway","RUS","Russian Federation",106425435.619,"Group_2",0,0,1,202203,43.8142500715705,0.18255163702566,0.0432347374488889,0.685877698441373,-88,10,-2,0.106425435619,-2.24031067407451,3.77995910856927,-3.14111099924023,0,0,1,-0.153836545374676,-0.211812652917286,1.89622181959331,0.510190873767117
"29",29,2014,1,201401,"PHL","Philippines","RUS","Russian Federation",4774982,"Group_0",1,0,0,0,15.0429876641835,1.33371780654573,0.449799025131881,-0.632241626606519,-88,1000,1000,0.004774982,-5.34436507469006,2.71091194667836,-0.798954406796129,0,0,0,-1.00461334447194,-0.176742302190668,-2.20434017037091,-1.1285652723445
"30",30,2014,1,201401,"POL","Poland","RUS","Russian Federation",699475324,"Group_2",0,0,1,202203,37.9417640848728,0.0909155601942726,0.0224449876747065,-0.121327936568785,-88,10,-2,0.699475324,-0.357424762124998,3.6360524601279,-3.79668795588154,0,0,1,-0.268361369062724,-0.213605982627218,-0.614929243977749,-0.365632198555897
"31",31,2014,1,201401,"PRT","Portugal","RUS","Russian Federation",24498760.799,"Group_2",0,0,1,202203,17.2679762301118,0.0217696837436028,0.00524914368003354,-0.229168277624892,-88,10,-2,0.024498760799,-3.7091327423433,2.84885370116413,-5.24969032424729,0,0,1,-0.894835545580744,-0.215089301005648,-0.950411772089067,-0.68677887289182
"32",32,2014,1,201401,"QAT","Qatar","RUS","Russian Federation",2243535.213,"Group_0",1,0,0,0,18.954249030809,0.107967787272652,0.0246794317722242,0.557859530550043,-88,1000,1000,0.002243535213,-6.09970243710644,2.94202812965585,-3.70178510402588,0,0,0,-0.820684801950603,-0.213413238845846,1.49796771368301,0.154623224295519
"33",33,2014,1,201401,"ROU","Romania","RUS","Russian Federation",144232361.66,"Group_2",0,0,1,202203,11.999701638966,0.0984795023394553,0.0241097503155816,-0.140753869225625,-88,10,-2,0.14423236166,-1.93632965725745,2.4848817860594,-3.72513894289488,0,0,1,-1.18449429211012,-0.213462379729814,-0.675361740155095,-0.691106137331675
"34",34,2014,1,201401,"IND","India","RUS","Russian Federation",188156041.512,"Group_0",1,0,0,0,186.043182335139,1.83973397221119,0.511863284945362,-0.493948984594422,-88,1000,1000,0.188156041512,-1.67048365237583,5.22597880985967,-0.669697711190332,0,0,0,0.996945250556012,-0.171388621542397,-1.77412301130913,-0.316188794098504
"35",35,2014,1,201401,"SGP","Singapore","RUS","Russian Federation",50674221.953,"Group_2",0,0,1,202203,24.8756117534279,0.0377277929656228,0.00919456714875646,0.0482439230499593,-88,10,-2,0.050674221953,-2.98233794042746,3.21388787584488,-4.68914249666615,0,0,1,-0.604331423997667,-0.21474896765861,-0.087404983535769,-0.302161791730682
"36",36,2014,1,201401,"ZAF","South Africa","RUS","Russian Federation",23523652.039,"Group_0",1,0,0,0,27.067992507541,0.321851520201152,0.0670819602476562,0.533591870756255,-88,1000,1000,0.023523652039,-3.74974889423843,3.29835194156859,-2.70184011991897,0,0,0,-0.53711262389529,-0.209755584717384,1.42247299826172,0.225201596549682
"37",37,2014,1,201401,"ESP","Spain","RUS","Russian Federation",289528107.475,"Group_2",0,0,1,202203,95.7244132355364,0.0217696837436028,0.00530459425826853,0.0284013635291706,-88,10,-2,0.289528107475,-1.23950289695833,4.56147336765574,-5.23918199273116,0,0,1,0.46811375157799,-0.215084517823047,-0.149133571993868,0.0346318872536914
"38",38,2014,1,201401,"SWE","Sweden","RUS","Russian Federation",232503773.788,"Group_2",0,0,1,202203,33.7219939511498,0.19224747819177,0.0463079585602757,0.167079345562265,-88,10,-2,0.232503773788,-1.45884882274022,3.51815026398177,-3.07244144151088,0,0,1,-0.362191142546541,-0.211547555992883,0.282282348525457,-0.0971521166713225
"39",39,2014,1,201401,"CHE","Switzerland","RUS","Russian Federation",212712146.282,"Group_2",0,0,1,202203,56.954932941945,0.0267866144020305,0.00658020432163522,-0.0744108769552877,-88,10,-2,0.212712146282,-1.54781545317837,4.04226030496456,-5.02368948220677,0,0,1,0.0549098787529991,-0.214974483337314,-0.468974088267546,-0.209679564283954
"40",40,2014,1,201401,"THA","Thailand","RUS","Russian Federation",94256191.903,"Group_0",1,0,0,0,34.5004249423936,0.976178474639594,0.23944225871946,-0.199634344965099,-88,1000,1000,0.094256191903,-2.36173875822839,3.54097164113229,-1.42944298213997,0,0,0,-0.344029270091103,-0.194887736502776,-0.85853411019794,-0.465817038930607
"41",41,2014,1,201401,"TUR","Türkiye","RUS","Russian Federation",477578166,"Group_0",1,0,0,0,72.4477563427244,0.0658457323473424,0.0144592906251842,0,-88,1000,1000,0.477578166,-0.739027434029158,4.28286569993277,-4.23641812118766,0,0,0,0.24639019419064,-0.214294831118853,-0.237487903455203,-0.0684641801278056
"42",43,2014,1,201401,"GBR","United Kingdom","RUS","Russian Federation",515827969.977,"Group_2",0,0,1,202203,253.687104585286,0.0180099508388237,0.00436685068097856,0.24803689547232,-88,10,-2,0.515827969977,-0.661981960605323,5.53610163592941,-5.43371319764892,0,0,1,1.2437494278609,-0.215165407849898,0.534134700322014,0.520906240111006
"43",44,2014,1,201401,"USA","USA","RUS","Russian Federation",891026953,"Group_1",0,1,0,202105,1411.94806584362,0.0296508904162392,0.0169870626563924,0.0973056173955641,-88,0,-2,0.891026953,-0.115380601688275,7.25272563681276,-4.07530324486101,0,0,1,2.60988548320745,-0.214076784786755,0.0652219563579466,0.820343551592881
"44",45,2014,2,201402,"ARG","Argentina","RUS","Russian Federation",56807304.16,"Group_0",1,0,0,0,34.7689276828789,0.222815858691216,0.0541867360630389,0.319529130234251,-87,1000,1000,0.05680730416,-2.86809036715638,3.54872410524736,-2.91531912257003,0,0,0,-0.337859648356858,-0.210867930411665,0.756541226705141,0.0692712159788726
"45",46,2014,2,201402,"AUS","Australia","RUS","Russian Federation",36975867.344,"Group_2",0,0,1,202203,110.610646488782,0.0316312185388418,0.00810780747566616,0.65576574695928,-87,10,-2,0.036975867344,-3.29748981308095,4.70601634565598,-4.81492779565874,0,0,1,0.583144983630949,-0.214842711856134,1.80254598816839,0.723616086647736
"46",47,2014,2,201402,"AUT","Austria","RUS","Russian Federation",447998163.413,"Group_2",0,0,1,202203,34.250757306199,0.0207501927350234,0.00496046679438911,0.148076323059569,-87,10,-2,0.447998163413,-0.802966146100109,3.53370867559368,-5.30625543090154,0,0,1,-0.349809335548611,-0.21511420235565,0.22316549143351,-0.113919348823584
"47",48,2014,2,201402,"BEL","Belgium","RUS","Russian Federation",323670936.256,"Group_2",0,0,1,202203,41.583066470377,0.0207501927350234,0.00504473922110965,-0.125224365590402,-87,10,-2,0.323670936256,-1.12802790812976,3.72769302839688,-5.28940931707557,0,0,1,-0.195431313103889,-0.215106932992228,-0.627050717685796,-0.345862987927304
"48",49,2014,2,201402,"BRA","Brazil","RUS","Russian Federation",256325436,"Group_0",1,0,0,0,192.305573783634,0.06750827626865,0.6341772127957,0.30415654656369,-87,1000,1000,0.256325436,-1.36130740746186,5.25908563700897,-0.455426848151446,0,0,0,1.02329256378448,-0.160837787446987,0.708718369480317,0.523724381939271
"49",50,2014,2,201402,"CAN","Canada","RUS","Russian Federation",115027397.663,"Group_2",0,0,1,202203,142.772335971605,0.0313364473266519,0.0093811202964758,0.663680189412661,-87,10,-2,0.115027397663,-2.16258493844583,4.9612513054492,-4.66905608850344,0,0,1,0.786267904537925,-0.214732875531195,1.82716717479345,0.799567401266725
"50",51,2014,2,201402,"CHL","Chile","RUS","Russian Federation",31531761.6,"Group_0",1,0,0,0,20.5782217350834,15.6996451408099,2.47674119718954,0.571837669354353,-87,1000,1000,0.0315317616,-3.45675993638644,3.02423331924222,0.906943662686647,0,0,0,-0.755263676897738,-0.00189769574047747,1.54145256636834,0.261430397910041
"51",52,2014,2,201402,"COL","Colombia","RUS","Russian Federation",9060980.9,"Group_0",1,0,0,0,31.174960692481,57.8062389460795,11.3096107082006,0.478304315040901,-87,1000,1000,0.0090609809,-4.70377789767954,3.43961523069862,2.42565286939423,0,0,0,-0.42469145742082,0.760028132617434,1.25047791012645,0.528604861774356
"52",53,2014,2,201402,"CZE","Czechia","RUS","Russian Federation",452684737,"Group_1",0,1,0,202105,15.7636371877254,0.569495147612353,0.137941918050074,-0.0724274075683393,-87,0,-2,0.452684737,-0.792559340593472,2.75770584382592,-1.98092256611645,0,0,1,-0.967373488783936,-0.203643184666788,-0.46280367636187,-0.544606783270864
"53",54,2014,2,201402,"DNK","Denmark","RUS","Russian Federation",111985780.884,"Group_2",0,0,1,202203,28.4254344038345,0.154839916557072,0.0375803104873438,-0.229905923545825,-87,10,-2,0.111985780884,-2.18938337213954,3.34728432197662,-3.28127502299413,0,0,1,-0.4981709050827,-0.212300405390159,-0.952706528540893,-0.554392613004584
"54",55,2014,2,201402,"FIN","Finland","RUS","Russian Federation",473657031.745,"Group_2",0,0,1,202203,21.1614595366057,0.0207501927350234,0.00504171146925143,0.278151075770895,-87,10,-2,0.473657031745,-0.747271780903591,3.05218158082145,-5.29000967730973,0,0,1,-0.73302169041264,-0.215107194166962,0.627817465413695,-0.106770473055302
"55",56,2014,2,201402,"FRA","France","RUS","Russian Federation",948165133.334,"Group_2",0,0,1,202203,233.274480144215,0.0207501927350234,0.00503111433774765,0.162863816015071,-87,10,-2,0.948165133334,-0.0532266006160641,5.45221578660711,-5.29211378108687,0,0,1,1.17699078809262,-0.21510810827853,0.269168179041471,0.410350286285186
"56",57,2014,2,201402,"DEU","Germany","RUS","Russian Federation",3417610365.337,"Group_2",0,0,1,202203,339.539730961668,0.0207501927350234,0.00500588307226245,0.0165475754564184,-87,10,-2,3.417610365337,1.22894158326775,5.82759096802094,-5.29714144376383,0,0,1,1.47572456400848,-0.215110284734644,-0.186009742371275,0.358201512300854
"57",58,2014,2,201402,"GRC","Greece","RUS","Russian Federation",31899470.387,"Group_2",0,0,1,202203,18.3771471998642,0.0207501927350234,0.00505230860075521,0.332618457660192,-87,10,-2,0.031899470387,-3.44516587161756,2.91110789268633,-5.28790999149109,0,0,1,-0.845291967260062,-0.215106280055394,0.797261059498018,-0.0877123959391459
"58",59,2014,2,201402,"HUN","Hungary","RUS","Russian Federation",275217455,"Group_2",0,0,1,202203,9.86762700613065,6.43216010611764,1.5643976950701,0,-87,10,-2,0.275217455,-1.29019374833549,2.28925939962791,0.447500890534611,0,0,1,-1.34017590625478,-0.0805967049053647,-0.237487903455203,-0.552753504871783
"59",60,2014,2,201402,"ISL","Iceland","RUS","Russian Federation",26183994.042,"Group_2",0,0,1,202203,1.40058358984003,3.24137794204344,0.782518454053143,-0.275659099507561,-87,10,-2,0.026183994042,-3.64260696932682,0.336888999649172,-0.245237773391418,0,0,1,-2.89392535600605,-0.14804182991769,-1.09504093689351,-1.37900270760575
"60",61,2014,2,201402,"IDN","Indonesia","RUS","Russian Federation",89801329,"Group_0",1,0,0,0,69.9301743435949,338.476341775883,91.5993368502438,-0.282906682377925,-87,1000,1000,0.089801329,-2.41015550422893,4.24749723482857,4.51742403202772,0,0,0,0.218243007983148,7.6858426737635,-1.11758757760546,2.26216603471373
"61",62,2014,2,201402,"IRL","Ireland","RUS","Russian Federation",79166706.215,"Group_2",0,0,1,202203,21.6356015138817,0.0207501927350234,0.00503111433774765,-0.191097524577913,-87,10,-2,0.079166706215,-2.53619944461778,3.07434017610439,-5.29211378108687,0,0,1,-0.71538727778863,-0.21510810827853,-0.831976756451856,-0.587490714173005
"62",63,2014,2,201402,"ISR","Israel","RUS","Russian Federation",100401000,"Group_0",1,0,0,0,25.5158898631196,0.0996468414130878,0.0227307240382968,0.231432282370963,-87,1000,1000,0.100401,-2.29858311161475,3.23930138998536,-3.78403778776241,0,0,0,-0.584106658444754,-0.213581334927481,0.482479099764749,-0.105069631202495
"63",64,2014,2,201402,"ITA","Italy","RUS","Russian Federation",1093127193.158,"Group_2",0,0,1,202203,167.045193290848,0.0207501927350234,0.00495037428819503,-0.329267197459713,-87,10,-2,1.093127193158,0.0890425731082137,5.11826439431424,-5.30829209148334,0,0,1,0.91122318988258,-0.215115072938096,-1.26181136855294,-0.188567750536151
"64",65,2014,2,201402,"JPN","Japan","RUS","Russian Federation",1027894902.972,"Group_2",0,0,1,202203,414.009994933696,2.89541290644415,0.672451197873094,-0.199205583123576,-87,10,-2,1.027894902972,0.0275129273436393,6.02589011588582,-0.396825738357791,0,0,1,1.63353641768367,-0.157536262642585,-0.857200266989145,0.206266629350645
"65",66,2014,2,201402,"KOR","Rep. of Korea","RUS","Russian Federation",22849614,"Group_2",0,0,1,202203,112.902823891368,30.3741355267335,6.94202640272961,0.32610784325948,-87,10,-2,0.022849614,-3.7788210545636,4.72652748316671,1.9375937207642,0,0,1,0.599468304565038,0.383279072108775,0.777007067742072,0.586584814805295
